station,lon,lat,bias
ACoruna,-8.39,43.36,-0.002410119686156
Aarhus,10.2167,56.150002,0.0041269569510056
Abashiri,144.283,44.017,-0.0018340362768108
Aberdeen,-2.080222,57.144028,0.0048559481427425
Aburatsu,131.417,31.567,-0.0014960956451538
Adak Alaska,-176.635,51.858,0.0039060772131458
Almeria,-2.48,36.83,0.0012857843214293
Ancona,13.50651667,43.62476667,0.0003140376397696
Andenes,16.15,69.317,-0.0072209238467888
Apia,-171.75,-13.817,0.0012024113421342
Arica,-70.3233333333333,-18.4758333333333,-0.0003985984302314
Atlantic City,-74.418,39.355,0.0076634805730366
Balboa,-79.573,8.962,0.001094848358299
Baltra,-90.285,-0.435,-0.00219386020612
Bamfield,-125.133,48.833,-0.0153992263176334
Barcelona,2.163,41.342,0.0016350962047377
Benoa,115.21,-8.745,-0.0168062950094601
Bilbao,-3.05,43.357,-0.0025899629032954
Bluff,168.333,-46.6,0.0015994086103415
Bonanza,-6.34,36.8,-0.006814509373965
Booby Island,141.917,-10.6,-0.0068228916913604
Brest,-4.5,48.383,-0.0011235056844479
Brisbane,153.167,-27.367,-0.0005899871137875
Broome,122.217,-18.0,0.0010459621972656
Bundaberg,152.35,-24.833,-0.0026241682010687
Cabo San Lucas,-109.908,22.88,-0.0040193123124654
Calais,1.86772001,50.9693985,0.0095639574843478
Callao,-77.15,-12.05,-0.0010253959516307
Cape Town,18.417,-33.9,-9.29425320137183e-05
Carnarvon,113.617,-24.883,0.0015473423807482
Castletownbere,-9.18299999999999,51.533,-0.0014539081067758
Catania,15.093825,37.49808056,0.0027253503161159
Charleston SC,-79.933,32.783,0.0036053811315578
Cherbourg,-1.635508,49.651447,0.0020054239434811
Chittagong,91.827,22.237,0.0068172610895237
Churchill,-94.2,58.783,0.0032116259471445
Colombo,79.858,6.963,0.0025636313867534
Coquimbo,-71.3352777777778,-29.9497222222222,-0.0011750980447828
Crescent City,-124.183,41.745,-0.0121334659649879
Cristobal,-79.9,9.35,-0.0019505814462265
Cromer,1.301639,52.934194,0.0140440099453397
Cuxhaven,8.717,53.867,0.0210428919295298
Dakar,-17.4200000000001,14.677,0.0022855274434299
Darwin,130.85,-12.467,0.0009476129212278
Davao,125.633,7.083,0.0036427755076644
Davis,77.967,-68.45,0.0038098683409077
Duck Pier,-75.74,36.183,0.0011651511131319
Dunkerque,2.366698,51.048091,0.0086264590770139
Durban,31.0,-29.883,-0.0035124893964865
Dutch Harbor,-166.538,53.88,-0.0003859629339131
East London,27.917,-33.0,-0.0069714409971377
El Hierro,-17.9,27.78,-0.0026294635077477
Esperance,121.9,-33.867,0.0012056373061031
Faraday,-64.267,-65.25,0.0024132212803579
Ferrol,-8.33,43.46,-0.0031506648082831
Fort Denison,151.233,-33.85,-0.0001129888836833
Fort Pulaski,-80.902,32.033,0.0021324430566149
Fort de France,-61.067,14.6,0.0047879109998808
Fremantle,115.733,-32.05,0.000793930415546
Funchal,-16.9069999999999,32.64,-0.0016641834239169
Galveston Pier 21,-94.793,29.31,0.0031109503954805
Galveston Pier,-94.788,29.285,0.0042038392699746
Gandia,-0.15,39.0,0.0023603061111952
Genova,8.92551667,44.41012778,0.0007970884472342
Gijon,-5.7,43.56,-0.0026246213532185
Gomera,-17.11,28.09,-0.0020211206797052
Goteborgorsh,11.8,57.683,0.0014775828903227
Guam,144.65,13.433,0.0010733025912757
Hakodate,140.733,41.783,-0.002682290038997
Halifax,-63.583,44.667,-0.0031531634148678
Hamada,132.067,34.9,-0.0006470832553116
Helgeroa,9.856379,58.995212,0.0011993672181163
Helgoland,7.889923,54.178909,0.0114020762627179
Hilo Hawaii,-155.067,19.733,0.0009365596264082
Hong Kong,114.217,22.3,-0.0123824131534158
Honiara,159.957,-9.425,-0.001378255381995
Honningsvag,25.983,70.983,-0.0017078164428077
Honolulu Hawaii,-157.867,21.307,0.0003002847097238
Huelva,-6.83,37.13,-0.003444067877387
Ilha Fiscal,-43.165,-22.897,-0.0047585164040473
Imbituba,-48.6502777777778,-28.2311111111111,-0.0110401978934844
Imperia,8.01886389,43.87833889,0.0011325585273907
Iquique,-70.1477777777778,-20.2044444444444,-0.0014592365623032
Ishigake,124.15,24.333,-0.0094104914905599
Isla Pascua,-109.439444444444,-27.1547222222222,-0.0019476979532585
Juan Fernandez,-78.833,-33.622,0.000552484381998
Kabelvag,14.482149,68.212639,-0.0017800945676468
Kahului,-156.467,20.9,0.0013562741108096
Kaohsiung,120.282,22.615,-0.0008814327545754
Kawaihae,-155.833,20.033,0.0013814361128794
Keelung,121.745,25.157,0.0003256262564323
Ketchikan,-131.625,55.333,-0.0102315301677376
Key West FL,-81.808,24.553,-0.0005785070320866
Ko Lak,99.817,11.795,-0.0062240179746751
Ko Taphao Noi,98.425,7.832,-0.0057123559269381
Kodiak,-152.512,57.732,0.0017124866156164
Kushimoto,135.783,33.467,-0.0020752051614585
Kushiro,144.383,42.967,-0.0021073407113543
Kwajalein,167.733,8.733,0.0022058442078151
La Jolla,-117.258,32.867,-0.0015570237663896
La Libertad,-80.917,-2.2,-0.0027077747855639
La Palma,-17.77,28.68,-0.0011827572006623
La Rochelle,-1.22064996,46.15850067,-0.000950914683537
Lamu,40.903,-2.272,-2.67084985754954e-05
Langkawi,99.765,6.432,-0.0036474743172548
Lanzarote Arrecife,-13.53,28.97,-0.000497959825752
Las Palmas,-15.41,28.14,-0.0012812748148685
Lautoka,177.433,-17.6,0.0012856472044586
Legaspi,123.75,13.15,0.0030584213391557
Lerwick,-1.13799999999992,60.153,-0.004508938075587
Livorno,10.29933889,43.54628611,-0.0008109130088984
Lombrum,147.367,-2.033,-0.0008439446260916
Maisaka,137.617,34.683,-0.002082792256347
Majuro,171.373,7.107,-0.0022445209026516
Malaga,-4.42,36.71,-0.0008765184833398
Malakal,134.463,7.33,-1.81506348008006e-05
Maloy,5.117,61.933,0.0018117636866151
Manila,120.967,14.583,-0.0039920532237869
Manzanillo,-104.333,19.05,-0.0078698873371585
Marseille,5.35,43.3,-0.0069509493695962
Masirah,58.872,20.687,0.0047093782066937
Mawson,62.867,-67.6,0.0065392586549061
Melilla,-2.93,35.29,0.0008283938996764
Mera,139.833,34.917,-0.0039936121062607
Mokuoloe,-157.8,21.433,0.000459890842517
Mombasa,39.657,-4.07,-0.0006950349389641
Monaco,7.421497,43.728847,0.0020214027201634
Mossel Bay,22.333,-34.067,0.0027781495676481
Nagasaki,129.867,32.733,0.0029094993882719
Naha,127.667,26.217,-0.0112127664542551
Nain,-61.7,56.55,0.0077238526555984
Nawiliwili,-159.35,21.967,0.0002200258931258
Naze,129.498,28.378,-0.0110724381019364
Neah Bay,-124.617,48.368,-0.0215813308333846
Newlyn,-5.53333,50.099998,-0.0026113646876983
Newport,-71.327,41.505,0.0089330991241723
Nice,7.285257,43.695508,0.0029234698502247
Nishinoomote,130.995,30.732,0.003282407242015
Nome,-165.43,64.5,0.0174702881876411
North Shields,-1.4333301,55.0,0.0019669101502068
Noumea,166.437,-22.25,0.0005111481897964
Nuku alofa,-175.167,-21.133,-0.0005000505298472
Nylesund,11.933,78.933,0.0029585741902623
Ofunato,141.717,39.067,0.0019050563807924
Padang,100.367,-1.0,-0.0065162103708295
Papeete,-149.567,-17.525,-0.0006884564849112
Pensacola,-87.213,30.403,0.0038761621917469
Ponta Delgada,-25.673,37.735,0.0028558040150308
Port Bloc,-1.061555,45.56848,-0.0023454691711906
Port Elizabeth,25.63,-33.96,-0.0014276273309244
Port Hedland,118.567,-20.317,0.0001180807968908
Port Louis,57.495,-20.155,0.0018555132668069
Port Stanley,-57.933,-51.75,0.0031504541004384
Port Vila,168.3,-17.767,0.0031460217843155
Port aux basques,-59.133,47.567,-0.0021740587552854
Portland,141.613,-38.343,-4.99356357960668e-05
Prigi,111.733,-8.283,-0.0133336728452048
Prince Rupert,-130.333,54.317,-0.0040978099801695
Prudhoe Bay,-148.527,70.4,-0.0092474302359366
Qaqortoq,-46.033,60.717,-0.0040418311093323
Ravenna,12.28293611,44.492075,-0.0020136937245866
Reunion,55.293,-20.923,-0.0009568313450486
Reykjavik,-21.93989,64.150581,-0.0001068006152954
Richards Bay,32.083,-28.8,-0.0035765339078973
Rorvik,11.25,64.867,-0.000658360739398
Sabang,95.333,5.833,-0.0040882919175999
Saipan,145.742,15.277,0.0004950834144223
Salalah,54.007,16.935,0.0101954677205647
Saldahna Bay,17.95,-33.017,-0.0011966605621944
Salvador,-38.517,-12.967,-0.0047048044037848
San Antonio,-71.6180555555555,-33.5816666666667,-0.0022328627494663
San Diego,-117.173,32.715,-0.0027332758666661
San Francisco,-122.465,37.807,-0.0051314875733617
San Juan PR,-66.117,18.46,0.0011961856867137
Sand Point,-160.502,55.337,-0.0029590515596876
Santa Cruz,-90.312,-0.753,-0.0025791418683687
Santander,-3.79,43.46,-0.0031018955966254
Seward,-149.427,60.12,-0.003880028805518
Simons Town,18.433,-34.183,0.0030886184223392
Sitka,-135.342,57.052,-0.001237518039912
Smogen,11.215,58.35,0.0005420805854594
South Beach,-124.043,44.625,-0.0174576382864852
Spring Bay,147.933,-42.55,0.0015988411329681
St Johns,-52.717,47.567,-0.0004770659895755
St Marys,-6.317139,49.917833,-0.002425870720231
Stockholm,18.083,59.317,0.0018294750068053
Stornoway,-6.388889,58.207722,0.002143536444516
Subic Bay,120.252,14.765,0.0066131515670731
Suva,178.427,-18.132,0.0015932620793406
Syowa,39.6,-69.0,0.0050468945220396
Talcahuano,-73.1061111111111,-36.7008333333333,-0.0060064388968307
Tanjong Pagar,103.853,1.262,-0.0080486176006519
Tarawa,172.93,1.362,-0.0019207211305394
Tenerife,-16.24,28.48,0.0015088494298101
Thevenard,133.64,-32.15,0.0194565803789044
Thule,-68.0,76.0,-0.0007100545540857
Tofino,-125.917,49.15,-0.0151781405529948
Townsville,146.833,-19.25,-0.0063250888245927
Toyama,137.217,36.767,-0.0011704672204509
Tregde,7.567,58.0,0.0009631403170484
Trieste,13.75793889,45.64939167,0.0042729657607344
Valencia,-0.31,39.44,0.0034391703844707
Valparaiso,-71.6277777777778,-33.0277777777778,-0.0023867179236708
Vardo,31.1,70.333,-0.0004739230204231
Venezia,12.42652778,45.41821944,0.0027475299644255
Vigo,-8.73,42.24,-0.0069497151647242
Viker,10.949769,59.036046,0.0027470544727809
Villagarcia,-8.77,42.6,-0.0075775947248753
Virginia Key,-80.162,25.732,-0.0060019702646619
Vung Tau,107.072,10.34,0.0044425099577165
Wakkanai,141.683,45.4,-0.0005384190278561
Wellington,174.783,-41.283,0.0012514393073939
Whitby,-0.614694,54.49,0.0030406696725677
Wick,-3.086389,58.440972,0.0033565252726357
Yakutat,-139.735,59.547,-0.0027015967873221
Zanzibar,39.19,-6.155,-0.0009695274947914
